"id","BK_id","Year","Price","Lost","Reason_for_Lost","DateIn"
"243","198","2015","100","FALSE",NULL,"2019-01-05"
"244","199","2015","100","FALSE",NULL,"2019-01-05"
"245","200","2015","100","FALSE",NULL,"2019-01-05"
"246","195","2015","100","FALSE",NULL,"2019-01-05"
"247","201","2015","100","FALSE",NULL,"2019-01-05"
"248","201","2015","100","FALSE",NULL,"2019-01-05"
"249","202","2015","100","FALSE",NULL,"2019-01-05"
"250","203","2015","100","FALSE",NULL,"2019-01-05"
"251","204","2015","100","FALSE",NULL,"2019-01-05"
"252","33","2006",NULL,"FALSE",NULL,"2019-01-05"
"253","96",NULL,"60","FALSE",NULL,"2019-01-05"
"254","108","2010","300","FALSE",NULL,"2019-01-05"
"255","218","2018","290","FALSE",NULL,"2019-01-05"
"256","216","2018","279","FALSE",NULL,"2019-01-05"
"257","215","2018","325","FALSE",NULL,"2019-01-05"
"258","217","2018","325","FALSE",NULL,"2019-01-05"
"259","214","2018","342","FALSE",NULL,"2019-01-05"
"260","213","2018","331","FALSE",NULL,"2019-01-05"
"261","211","2018","296","FALSE",NULL,"2019-01-05"
"262","212","2018","325","FALSE",NULL,"2019-01-05"
"263","210","2018","267","FALSE",NULL,"2019-01-05"
"264","209","2018","296","FALSE",NULL,"2019-01-05"
"265","208","2018","285","FALSE",NULL,"2019-01-05"
"266","207","2017","447","FALSE",NULL,"2019-01-05"
"267","206","2018","232","FALSE",NULL,"2019-01-05"
"268","205","2018","319","FALSE",NULL,"2019-01-05"
"269","219","2019","500","FALSE",NULL,"2019-01-07"
"270","219","2019","500","FALSE",NULL,"2019-01-07"
"271","219","2019","500","FALSE",NULL,"2019-01-07"
"272","219","2019","500","FALSE",NULL,"2019-01-07"
"273","219","2019","500","FALSE",NULL,"2019-01-07"
"274","219","2019","500","FALSE",NULL,"2019-01-07"
"275","219","2019","500","FALSE",NULL,"2019-01-07"
"276","219","2019","500","FALSE",NULL,"2019-01-07"
"277","219","2019","500","FALSE",NULL,"2019-01-07"
"278","220","2018","500","FALSE",NULL,"2019-01-07"
"279","220","2018","500","FALSE",NULL,"2019-01-07"
"280","220","2018","500","FALSE",NULL,"2019-01-07"
"281","220","2018","500","FALSE",NULL,"2019-01-07"
"282","220","2018","500","FALSE",NULL,"2019-01-07"
"283","220","2018","500","FALSE",NULL,"2019-01-07"
"284","220","2018","500","FALSE",NULL,"2019-01-07"
"285","220","2018","500","FALSE",NULL,"2019-01-07"
"286","220","2018","500","FALSE",NULL,"2019-01-07"
"287","221","2019","300","FALSE",NULL,"2019-01-07"
"288","222","2019","300","FALSE",NULL,"2019-01-07"
"289","223","2019","300","FALSE",NULL,"2019-01-07"
"290","224","2019","300","FALSE",NULL,"2019-01-07"
"291","225","2019","300","FALSE",NULL,"2019-01-07"
"292","226","2019","300","FALSE",NULL,"2019-01-07"
"293","227","2019","500","FALSE",NULL,"2019-01-08"
"294","227","2019","500","FALSE",NULL,"2019-01-08"
"295","227","2019","500","FALSE",NULL,"2019-01-08"
"296","227","2019","500","FALSE",NULL,"2019-01-08"
"297","227","2019","500","FALSE",NULL,"2019-01-08"
"298","227","2019","500","FALSE",NULL,"2019-01-08"
"299","227","2019","500","FALSE",NULL,"2019-01-08"
"300","227","2019","500","FALSE",NULL,"2019-01-08"
"301","227","2019","500","FALSE",NULL,"2019-01-08"
"302","227","2019","500","FALSE",NULL,"2019-01-08"
"303","227","2019","500","FALSE",NULL,"2019-01-08"
"304","227","2019","500","FALSE",NULL,"2019-01-08"
"305","227","2019","500","FALSE",NULL,"2019-01-08"
"306","227","2019","500","FALSE",NULL,"2019-01-08"
"307","227","2019","500","FALSE",NULL,"2019-01-08"
"308","227","2019","500","FALSE",NULL,"2019-01-08"
"309","227","2019","500","FALSE",NULL,"2019-01-08"
"310","227","2019","500","FALSE",NULL,"2019-01-08"
"311","227","2019","500","FALSE",NULL,"2019-01-08"
"312","227","2019","500","FALSE",NULL,"2019-01-08"
"313","227","2019","500","FALSE",NULL,"2019-01-08"
"314","227","2019","500","FALSE",NULL,"2019-01-08"
"315","227","2019","500","FALSE",NULL,"2019-01-08"
"316","227","2019","500","FALSE",NULL,"2019-01-08"
"317","227","2019","500","FALSE",NULL,"2019-01-08"
"318","227","2019","500","FALSE",NULL,"2019-01-08"
"319","227","2019","500","FALSE",NULL,"2019-01-08"
"320","227","2019","500","FALSE",NULL,"2019-01-08"
"321","227","2019","500","FALSE",NULL,"2019-01-08"
"322","227","2019","500","FALSE",NULL,"2019-01-08"
"323","228","2019","500","FALSE",NULL,"2019-01-08"
"324","228","2019","500","FALSE",NULL,"2019-01-08"
"325","228","2019","500","FALSE",NULL,"2019-01-08"
"326","228","2019","500","FALSE",NULL,"2019-01-08"
"327","228","2019","500","FALSE",NULL,"2019-01-08"
"328","228","2019","500","FALSE",NULL,"2019-01-08"
"329","228","2019","500","FALSE",NULL,"2019-01-08"
"330","228","2019","500","FALSE",NULL,"2019-01-08"
"331","228","2019","500","FALSE",NULL,"2019-01-08"
"332","228","2019","500","FALSE",NULL,"2019-01-08"
"333","228","2019","500","FALSE",NULL,"2019-01-08"
"334","228","2019","500","FALSE",NULL,"2019-01-08"
"335","228","2019","500","FALSE",NULL,"2019-01-08"
"336","228","2019","500","FALSE",NULL,"2019-01-08"
"337","228","2019","500","FALSE",NULL,"2019-01-08"
"338","228","2019","500","FALSE",NULL,"2019-01-08"
"339","228","2019","500","FALSE",NULL,"2019-01-08"
"340","228","2019","500","FALSE",NULL,"2019-01-08"
"341","228","2019","500","FALSE",NULL,"2019-01-08"
"342","228","2019","500","FALSE",NULL,"2019-01-08"
"343","228","2019","500","FALSE",NULL,"2019-01-08"
"344","228","2019","500","FALSE",NULL,"2019-01-08"
"345","228","2019","500","FALSE",NULL,"2019-01-08"
"346","228","2019","500","FALSE",NULL,"2019-01-08"
"347","228","2019","500","FALSE",NULL,"2019-01-08"
"348","228","2019","500","FALSE",NULL,"2019-01-08"
"349","228","2019","500","FALSE",NULL,"2019-01-08"
"350","228","2019","500","FALSE",NULL,"2019-01-08"
"351","228","2019","500","FALSE",NULL,"2019-01-08"
"352","162","2018","400","FALSE",NULL,"2019-01-22"
"353","162","2018","400","FALSE",NULL,"2019-01-22"
"354","162","2018","400","FALSE",NULL,"2019-01-22"
"355","162","2018","400","FALSE",NULL,"2019-01-22"
"356","162","2018","400","FALSE",NULL,"2019-01-22"
"357","162","2018","400","FALSE",NULL,"2019-01-22"
"358","162","2018","400","FALSE",NULL,"2019-01-22"
"359","162","2018","400","FALSE",NULL,"2019-01-22"
"360","162","2018","400","FALSE",NULL,"2019-01-22"
"361","162","2018","400","FALSE",NULL,"2019-01-22"
"362","162","2018","400","FALSE",NULL,"2019-01-22"
"363","162","2018","400","FALSE",NULL,"2019-01-22"
"364","162","2018","400","FALSE",NULL,"2019-01-22"
"365","162","2018","400","FALSE",NULL,"2019-01-22"
"366","162","2018","400","FALSE",NULL,"2019-01-22"
"367","162","2018","400","FALSE",NULL,"2019-01-22"
"368","159","2018","400","FALSE",NULL,"2019-01-22"
"369","159","2018","400","FALSE",NULL,"2019-01-22"
"370","159","2018","400","FALSE",NULL,"2019-01-22"
"371","159","2018","400","FALSE",NULL,"2019-01-22"
"372","159","2018","400","FALSE",NULL,"2019-01-22"
"373","159","2018","400","FALSE",NULL,"2019-01-22"
"374","159","2018","400","FALSE",NULL,"2019-01-22"
"375","159","2018","400","FALSE",NULL,"2019-01-22"
"376","159","2018","400","FALSE",NULL,"2019-01-22"
"377","159","2018","400","FALSE",NULL,"2019-01-22"
"378","159","2018","400","FALSE",NULL,"2019-01-22"
"379","159","2018","400","FALSE",NULL,"2019-01-22"
"380","159","2018","400","FALSE",NULL,"2019-01-22"
"381","159","2018","400","FALSE",NULL,"2019-01-22"
"382","159","2018","400","FALSE",NULL,"2019-01-22"
"384","229",NULL,"500","FALSE",NULL,"2019-02-08"
"385","230","2018","100","FALSE",NULL,"2019-01-30"
"386","231","2018","287","FALSE",NULL,"2019-02-11"
"387","219","2019","500","FALSE",NULL,"2019-02-15"
"388","219","2019","500","TRUE",NULL,"2019-02-15"
"389","219","2019","500","FALSE",NULL,"2019-02-15"
"390","219","2019","500","FALSE",NULL,"2019-02-15"
"391","219","2019","500","FALSE",NULL,"2019-02-15"
"392","219","2019","500","FALSE",NULL,"2019-02-15"
"393","219","2019","500","FALSE",NULL,"2019-02-15"
"394","219","2019","500","FALSE",NULL,"2019-02-15"
"395","219","2019","500","FALSE",NULL,"2019-02-15"
"396","219","2019","500","FALSE",NULL,"2019-02-15"
"397","219","2019","500","FALSE",NULL,"2019-02-15"
"398","219","2019","500","FALSE",NULL,"2019-02-15"
"399","219","2019","500","FALSE",NULL,"2019-02-15"
"400","219","2019","500","FALSE",NULL,"2019-02-15"
"401","219","2019","500","FALSE",NULL,"2019-02-15"
"402","219","2019","500","FALSE",NULL,"2019-02-15"
"403","219","2019","500","FALSE",NULL,"2019-02-15"
"405","220","2018","500","FALSE",NULL,"2019-02-15"
"406","220","2018","500","FALSE",NULL,"2019-02-15"
"407","220","2018","500","FALSE",NULL,"2019-02-15"
"408","220","2018","500","FALSE",NULL,"2019-02-15"
"409","220","2018","500","FALSE",NULL,"2019-02-15"
"410","220","2018","500","FALSE",NULL,"2019-02-15"
"411","220","2018","500","FALSE",NULL,"2019-02-15"
"412","220","2018","500","FALSE",NULL,"2019-02-15"
"413","220","2018","500","FALSE",NULL,"2019-02-15"
"414","220","2018","500","FALSE",NULL,"2019-02-15"
"415","220","2018","500","FALSE",NULL,"2019-02-15"
"416","220","2018","500","FALSE",NULL,"2019-02-15"
"417","220","2018","500","FALSE",NULL,"2019-02-15"
"418","220","2018","500","FALSE",NULL,"2019-02-15"
"419","220","2018","500","FALSE",NULL,"2019-02-15"
"420","220","2018","500","FALSE",NULL,"2019-02-15"
"421","220","2018","500","FALSE",NULL,"2019-02-15"
"422","219","2019","500","FALSE",NULL,"2019-03-25"
"423","219","2019","500","FALSE",NULL,"2019-03-25"
"424","219","2019","500","FALSE",NULL,"2019-03-25"
"425","219","2019","500","FALSE",NULL,"2019-03-25"
"426","219","2019","500","FALSE",NULL,"2019-03-25"
"427","220","2018","500","FALSE",NULL,NULL
"428","220","2018","500","FALSE",NULL,NULL
"429","220","2018","500","FALSE",NULL,NULL
"430","220","2018","500","FALSE",NULL,NULL
"431","220","2018","500","FALSE",NULL,"2019-11-05"
"432","232","2008","550","FALSE",NULL,"2019-11-05"
"433","233","2008","626","FALSE",NULL,"2019-11-05"
"434","234","2004","539","FALSE",NULL,"2019-11-05"
"435","235","2010","290","FALSE",NULL,"2019-11-05"
"436","236","2016","500","FALSE",NULL,"2019-11-05"
"437","237","2010","290","FALSE",NULL,"2019-11-05"
"438","238","2012","418","FALSE",NULL,"2019-11-05"
"439","239","2012","394","FALSE",NULL,"2019-11-05"
"440","240","2009","102","FALSE",NULL,"2019-11-05"
"441","241","2009","226","FALSE",NULL,"2019-11-05"
"442","242","2004","655","FALSE",NULL,"2019-11-05"
"443","243","2013","290","FALSE",NULL,"2019-11-05"
"444","244","2003","539","FALSE",NULL,"2019-11-05"
"445","245","2003","429","FALSE",NULL,"2019-11-05"
"446","246","2010","568","FALSE",NULL,"2019-11-05"
"447","247","2009","226","FALSE",NULL,"2019-11-05"
"448","241","2009","226","FALSE",NULL,"2019-11-05"
"449","248","2009","551","FALSE",NULL,NULL
"450","238","2012","418","FALSE",NULL,NULL
"451","249","2002","620","FALSE",NULL,NULL
"452","249","2002","620","FALSE",NULL,NULL
"453","250","2003","710","FALSE",NULL,NULL
"454","250","2003","710","FALSE",NULL,NULL
"455","251","2015","406","FALSE",NULL,NULL
"456","252","2015","400","FALSE",NULL,NULL
"457","253","2003","463","FALSE",NULL,NULL
"458","254","2016","574","FALSE",NULL,NULL
"459","255","2017","557","FALSE",NULL,NULL
"460","256","2018","603","FALSE",NULL,NULL
"461","257","2015","610","FALSE",NULL,NULL
"462","258","2018","610","FALSE",NULL,NULL
"463","259","2019","522","FALSE",NULL,NULL
"464","260","2015","600","FALSE",NULL,NULL
"465","28","2003",NULL,"FALSE",NULL,NULL
"466","274","2015","522","FALSE",NULL,"2019-11-27"
"467","272","2015","742","FALSE",NULL,"2019-11-27"
"468","254","2016","574","FALSE",NULL,"2019-11-27"
"469","254","2016","574","FALSE",NULL,"2019-11-27"
"470","254","2016","574","FALSE",NULL,"2019-11-27"
"471","254","2016","574","FALSE",NULL,"2019-11-27"
"472","250","2003","710","FALSE",NULL,"2019-11-27"
"473","250","2003","710","FALSE",NULL,"2019-11-27"
"474","250","2003","710","FALSE",NULL,"2019-11-27"
"475","250","2003","710","FALSE",NULL,"2019-11-27"
"476","261","2017","406","FALSE",NULL,"2019-11-27"
"477","262","2019","319","FALSE",NULL,"2019-11-27"
"478","263","2019","441","FALSE",NULL,"2019-11-27"
"479","264","2019","354","FALSE",NULL,"2019-11-27"
"480","265","2017","650","FALSE",NULL,"2019-11-27"
"481","267","2019","383","FALSE",NULL,"2019-11-27"
"482","268","2109","360","FALSE",NULL,"2019-11-27"
"483","269","2019","400","FALSE",NULL,"2019-11-27"
"484","270","2019","400","FALSE",NULL,"2019-11-27"
"485","271","2019","452","FALSE",NULL,"2019-11-27"
"486","271","2019","452","FALSE",NULL,"2019-11-27"
"487","271","2019","452","FALSE",NULL,"2019-11-27"
"488","271","2019","452","FALSE",NULL,"2019-11-27"
"489","271","2019","452","FALSE",NULL,"2019-11-27"
"490","271","2019","452","FALSE",NULL,"2019-11-27"
"491","289","2014","510","FALSE",NULL,"2019-11-27"
"492","288","2012","481","FALSE",NULL,"2019-11-27"
"493","288","2012","481","FALSE",NULL,"2019-11-27"
"494","288","2012","481","FALSE",NULL,"2019-11-27"
"495","287","2010","462","FALSE",NULL,"2019-11-27"
"496","287","2010","462","FALSE",NULL,"2019-11-27"
"497","287","2010","462","FALSE",NULL,"2019-11-27"
"498","287","2010","462","FALSE",NULL,"2019-11-27"
"499","287","2010","462","FALSE",NULL,"2019-11-27"
"500","285","2005","331","FALSE",NULL,"2019-11-27"
