"id","ClassRegisterID","Bal_bf","Uniform","uniform_no","Transport","Transport_months","Lunch","Lunch_months","OtherLevyIndv"
"371","421","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"372","422","300.00","0.00","0.00","900.00","3.00","600.00","3.00","300.00"
"375","619","400.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"376","620","0.00","0.00","0.00","1100.00","3.00","600.00","3.00","0.00"
"378","622","0.00","0.00","0.00","0.00","3.00","0.00","0.00","0.00"
"379","623","0.00","0.00","0.00","700.00","3.00","600.00","3.00","0.00"
"380","624","-450.00","2100.00","0.00","700.00","1.00","0.00","0.00","0.00"
"381","626","0.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"383","628","350.00","0.00","0.00","700.00","3.00","600.00","3.00","0.00"
"385","629","0.00","0.00","0.00","900.00","3.00","600.00","0.00","0.00"
"386","630","0.00","0.00","0.00","1100.00","3.00","0.00","0.00","0.00"
"387","631","1300.00","0.00","0.00","700.00","3.00","600.00","3.00","0.00"
"388","632","0.00","0.00","0.00","700.00","3.00","600.00","3.00","0.00"
"389","633","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"390","634","5100.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"391","635","2100.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"392","636","3400.00","0.00","0.00","700.00","3.00","600.00","3.00","0.00"
"393","637","800.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"394","638","0.00","0.00","0.00","700.00","3.00","600.00","3.00","0.00"
"395","639","900.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"396","640","1800.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"397","641","-1050.00","0.00","0.00","1100.00","1.50","0.00","0.00","0.00"
"398","642","0.00","700.00","0.00","1000.00","3.00","600.00","3.00","0.00"
"399","643","0.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"400","644","1400.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
